text,label,source_document,style,style_id,font_size,bold,italic,underline,alignment,left_indent,right_indent,first_line_indent,space_before,space_after,line_spacing,paragraph_index,text_length,word_count,uppercase_ratio,digit_ratio,starts_with_number,starts_with_chapter,starts_with_figure,starts_with_table,looks_like_reference,has_image,has_table
Engineering Data Analytics,Paragraph,unformatted_30_page_manuscript.docx,Normal,Normal,0.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,277,26,3,0.125,0.0,0,0,0,0,0,0,0
CHAPTER 25 CLOUD SYSTEMS,Chapter Title,unformatted_30_page_manuscript.docx,Normal,Normal,11.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,288,24,4,1.0,0.083,0,1,0,0,0,0,0
Cloud-Based Engineering,Paragraph,unformatted_30_page_manuscript.docx,Normal,Normal,0.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,289,23,2,0.143,0.0,0,0,0,0,0,0,0
CHAPTER 26 CYBER SECURITY,Chapter Title,unformatted_30_page_manuscript.docx,Normal,Normal,11.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,300,25,4,1.0,0.08,0,1,0,0,0,0,0
Cybersecurity for Industrial Systems,Paragraph,unformatted_30_page_manuscript.docx,Normal,Normal,0.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,301,36,4,0.091,0.0,0,0,0,0,0,0,0
CHAPTER 27 HUMAN MACHINE INTERACTION,Chapter Title,unformatted_30_page_manuscript.docx,Normal,Normal,11.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,312,36,5,1.0,0.056,0,1,0,0,0,0,0
Human-Machine Interaction,Paragraph,unformatted_30_page_manuscript.docx,Normal,Normal,0.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,313,25,2,0.13,0.0,0,0,0,0,0,0,0
CHAPTER 28 PROJECT DEVELOPMENT,Chapter Title,unformatted_30_page_manuscript.docx,Normal,Normal,11.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,324,30,4,1.0,0.067,0,1,0,0,0,0,0
Engineering Project Development,Paragraph,unformatted_30_page_manuscript.docx,Normal,Normal,0.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,325,31,3,0.103,0.0,0,0,0,0,0,0,0
CHAPTER 29 FUTURE TECHNOLOGIES,Chapter Title,unformatted_30_page_manuscript.docx,Normal,Normal,11.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,336,30,4,1.0,0.067,0,1,0,0,0,0,0
Future Directions,Paragraph,unformatted_30_page_manuscript.docx,Normal,Normal,0.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,337,17,2,0.125,0.0,0,0,0,0,0,0,0
CHAPTER 30 CONCLUSION,Chapter Title,unformatted_30_page_manuscript.docx,Normal,Normal,11.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,348,21,3,1.0,0.095,0,1,0,0,0,0,0
Conclusion and Final Observations,Paragraph,unformatted_30_page_manuscript.docx,Normal,Normal,0.0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,349,33,4,0.1,0.0,0,0,0,0,0,0,0
